date,location_id,location_name,latitude,longitude,soil_moisture_m3m3,soil_moisture_source
2016-01-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.253586,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-01-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.28785,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-01-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.287654,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-01-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.266438,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-01-24,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.246057,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-01-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.298208,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-01-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.30376,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.242892,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.250104,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.243044,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.296337,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-11,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.245554,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.355374,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.227514,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.224164,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.289616,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-02-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.293414,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
